,id,text,entity_detected,score
0,914,John Ford,PERSON,0.9999916553497314
1,914,"""The Searchers",WORK_OF_ART,0.569945494333903
2,914,1956,DATE,0.9999861717224121
3,914,"""My Darling Clementine""",WORK_OF_ART,0.9999579191207886
4,914,1946,DATE,0.9999822378158569
5,914,Dust Bowl,LOC,0.5011924207210541
6,914,John Steinbeck's,PERSON,0.9999975363413492
7,914,Pulitzer Prize,WORK_OF_ART,0.7505941390991211
8,914,Joad,PERSON,0.9985485672950745
9,914,Henry Fonda,PERSON,0.9999946355819702
10,914,Tom Joad,PERSON,0.999916672706604
11,914,Ma,PERSON,0.9999905824661255
12,914,Jane Darwell,PERSON,0.9999853372573853
13,914,X-Preacher Casey,PERSON,0.9985381662845612
14,914,John Carradine,PERSON,0.9999703764915466
15,914,Charlie Grapewin,PERSON,0.9999833106994629
16,914,John Qualen,PERSON,0.9999964237213135
17,914,Muley,PERSON,0.9999916553497314
18,914,Toland's,PERSON,0.9999916553497314
19,915,the ThirtiesI,DATE,0.9999920725822449
20,915,more then one,CARDINAL,0.9999841054280599
21,915,Frankie,PERSON,0.9999967813491821
22,915,Bill,PERSON,0.9999955892562866
23,915,Arizona,GPE,0.999991774559021
24,915,dad,PERSON,0.9999943971633911
25,915,Mom,PERSON,0.9999263286590576
26,915,California,GPE,0.999980092048645
27,915,California,GPE,0.9999861717224121
28,915,about six feet,QUANTITY,0.8170218467712402
29,915,Quonset,GPE,0.9051865339279175
30,915,Joe,PERSON,0.9999970197677612
31,915,dad,PERSON,0.789411723613739
32,915,Joe,PERSON,0.9999895095825195
33,915,Frankie,PERSON,0.9999973773956299
34,915,Bill,PERSON,0.9999959468841553
35,915,Doris,PERSON,0.999997615814209
36,915,Dorothy,PERSON,0.9999972581863403
37,915,Bill,PERSON,0.9999951124191284
38,915,Frank,PERSON,0.9999964237213135
39,915,Doris,PERSON,0.9999972581863403
40,915,Dorothy,PERSON,0.9999974966049194
41,915,Quonset,GPE,0.990484356880188
42,915,first,ORDINAL,0.9994624257087708
43,915,Grapes of wrath,WORK_OF_ART,0.999982992808024
44,915,Oklahoma,GPE,0.9622178077697754
45,915,the late thirties,DATE,0.9999808867772421
46,915,71 1/2 years,DATE,0.9837347149848938
47,915,McDaniel,PERSON,0.9999692440032959
48,916,The Wizard of Oz,WORK_OF_ART,0.9999864399433136
49,916,Dorothy,PERSON,0.9999942779541016
50,916,Toto,PERSON,0.9992349147796631
51,916,Oz,LOC,0.9657395482063293
52,916,the Wicked Witch of the East,PERSON,0.9999768932660421
53,916,Oz,LOC,0.9933779835700989
54,916,Land,LOC,0.5553874969482422
55,916,the Good Witch of the North,PERSON,0.9999908010164896
56,916,the Wicked Witch of the West,PERSON,0.9999891519546509
57,916,the Yellow Brick Road,FAC,0.9995719194412231
58,916,the Emarald City,GPE,0.9352494279543558
59,916,Wizard,PERSON,0.9978907704353333
60,916,Kansas,GPE,0.998846173286438
61,916,Scarecrow,PERSON,0.9477614164352417
62,916,Tin Man,PERSON,0.9999832510948181
63,916,Cowardly Lion,PERSON,0.9999943971633911
64,916,the Emarald City,GPE,0.9725680152575175
65,916,Wizard,PERSON,0.9988119602203369
66,916,the Wicked Witch,PERSON,0.958573559919993
67,916,the,PERSON,0.770042896270752
68,916,Dorothy,PERSON,0.9999947547912598
69,916,Wizard,PERSON,0.9156894087791443
70,916,Scarecrow,PERSON,0.9962825179100037
71,916,the Tin Man,PERSON,0.9981651107470194
72,916,the Cowardly Lion,PERSON,0.9985924959182739
73,916,Wizard,PERSON,0.9920589923858643
74,916,Kansas,GPE,0.9999935626983643
75,916,Dorothy,PERSON,0.9999940395355225
76,916,"""Somewhere Over the Rainbow""",WORK_OF_ART,0.99998539686203
77,916,Dorothy,PERSON,0.999993085861206
78,916,Oz.Now,GPE,0.9998090863227844
79,916,Judy Garland,PERSON,0.9999983906745911
80,916,Dorothy,PERSON,0.999992847442627
81,916,Frank Morgan,PERSON,0.999997615814209
82,916,five,CARDINAL,0.9999964237213135
83,916,Burt Lahr,PERSON,0.9999982118606567
84,916,Ray Bolger,PERSON,0.9999980926513672
85,916,Jack Haley,PERSON,0.9999985098838806
86,916,Margaret Hamilton,PERSON,0.9999942183494568
87,916,the Wicked Witch of the West.This,PERSON,0.9997876187165579
88,916,afternoon,TIME,0.9799755215644836
89,916,Christmas,DATE,0.9338447451591492
90,916,5,CARDINAL,0.9999938011169434
91,916,5,CARDINAL,0.999977707862854
92,918,Renoir,PERSON,0.9999934434890747
93,918,pre-WW2,DATE,0.8845202922821045
94,918,French,NORP,0.9999822378158569
95,918,Renoir,PERSON,0.9999940395355225
96,918,mid-20th century,DATE,0.9999913573265076
97,918,France,GPE,0.9999951124191284
98,918,French.Renoir's,PERSON,0.9979031085968018
99,918,pre-World War II,EVENT,0.9999890327453613
100,918,French,NORP,0.9999935626983643
101,918,Western,NORP,0.9999922513961792
102,918,France,GPE,0.999985933303833
103,918,21st century,DATE,0.9999711513519287
104,918,Austrian,NORP,0.9999932050704956
105,918,Règle du Jeu,WORK_OF_ART,0.9999892314275106
106,918,Marcel Dalio's,PERSON,0.9999957879384359
107,918,Austrian,NORP,0.9999939203262329
108,918,Nora Gregor,PERSON,0.9999956488609314
109,918,Renoir,PERSON,0.9999955892562866
110,918,Octave,PERSON,0.9999905824661255
111,918,Julien Carette,PERSON,0.9999972581863403
112,918,Paulette Dubost,PERSON,0.9999751448631287
113,918,La Règle du Jeu,WORK_OF_ART,0.9999882578849792
114,918,three,CARDINAL,0.9998749494552612
115,918,four,CARDINAL,0.9997909665107727
116,918,a few minutes,TIME,0.999951958656311
117,919,Jean Renoir,PERSON,0.9999949336051941
118,919,Renoir,PERSON,0.9999903440475464
119,919,one,CARDINAL,0.9999560117721558
120,919,French,NORP,0.9999960660934448
121,919,Renoir,PERSON,0.9999946355819702
122,919,Renoir,PERSON,0.9999940395355225
123,920,William Powell,PERSON,0.999998152256012
124,920,Myrna Loy,PERSON,0.9999948143959045
125,920,Nick,PERSON,0.999994158744812
126,920,Nora Charles,PERSON,0.9999934434890747
127,920,1934,DATE,0.999994158744812
128,920,America,GPE,0.999996542930603
129,920,the Great Depression,EVENT,0.999993364016215
130,920,Nick,PERSON,0.9999971389770508
131,920,Thin Man,WORK_OF_ART,0.9999839663505554
132,920,Clyde Wynant,PERSON,0.999995231628418
133,920,three,CARDINAL,0.9999871253967285
134,920,the first 15 minutes,TIME,0.9999319314956665
135,920,Charles',PERSON,0.9999532699584961
136,920,Wynant,PERSON,0.9999957084655762
137,920,Dorothy,PERSON,0.9999939203262329
138,920,Maureen O'Sullivan,PERSON,0.9999880194664001
139,920,Nick,PERSON,0.9999933242797852
140,920,Nick,PERSON,0.9999967813491821
141,920,Wynant,PERSON,0.9999972581863403
142,920,Christmas,DATE,0.9999678134918213
143,920,Wynant,PERSON,0.9999974966049194
144,920,Nick,PERSON,0.999994158744812
145,920,Wynant,PERSON,0.9999969005584717
146,920,Wynant,PERSON,0.9999945163726807
147,920,Wynant,PERSON,0.9999951124191284
148,920,Wynant,PERSON,0.9999966621398926
149,920,Nick Charles,PERSON,0.9999980330467224
150,922,German,NORP,0.999996542930603
151,922,WW I,EVENT,0.9999895095825195
152,922,First,ORDINAL,0.9999790191650391
153,922,Paul Bäumer,PERSON,0.9999980926513672
154,922,this present day,DATE,0.9971161484718323
155,922,"""Full Metal Jacket""",WORK_OF_ART,0.9756292343139649
156,922,Starship Troopers,WORK_OF_ART,0.9932810366153717
157,922,Lewis Milestone,PERSON,0.9999972581863403
158,924,Sergei Eisenstein,PERSON,0.9999924898147583
159,924,1905,DATE,0.9999972581863403
160,924,Imperial,ORG,0.43315741419792175
161,924,Czarist,NORP,0.9858681559562683
162,924,Russian Navy,ORG,0.999844491481781
163,924,one,CARDINAL,0.9999954700469971
164,924,Joe Stalin,PERSON,0.9999966025352478
165,924,USSR,GPE,0.9999924898147583
166,924,Eisenstein,PERSON,0.9999915361404419
167,924,1905,DATE,0.9999974966049194
168,924,the Black Sea,LOC,0.9999896685282389
169,924,the Russian Revolution,EVENT,0.9999938805898031
170,924,the Communist Party.DURING,ORG,0.9999816417694092
171,924,Kremlin,ORG,0.9999879598617554
172,924,The Communist Party,ORG,0.9999909003575643
173,925,Russia,GPE,0.9999903440475464
174,925,Potemkin,PRODUCT,0.9999831914901733
175,925,seconds,TIME,0.9998705387115479
176,925,Grigory Vakulinchuk,PERSON,0.9999972581863403
177,925,Vakulinchuk,PERSON,0.9999969005584717
178,925,Odessa,GPE,0.9999946355819702
179,925,the past few decades,DATE,0.999990850687027
180,925,one,CARDINAL,0.999995231628418
181,925,two,CARDINAL,0.9999947547912598
182,925,today,DATE,0.9999967813491821
183,925,2004,DATE,0.9999949932098389
184,925,20:20,TIME,0.7295257449150085
185,925,two,CARDINAL,0.9999804496765137
186,926,Englishman,NORP,0.9999829530715942
187,926,secondary,ORDINAL,0.9999808073043823
188,926,Knives Out,WORK_OF_ART,0.9999903440475464
189,926,two,CARDINAL,0.9999942779541016
190,926,three,CARDINAL,0.9999861717224121
191,926,Rian Johnson,PERSON,0.9999985098838806
192,926,the middle third,TIME,0.7653258244196574
193,927,one,CARDINAL,0.9551999568939209
194,927,Knives Out,WORK_OF_ART,0.9999891519546509
195,928,SSR,GPE,0.7679136991500854
196,928,one,CARDINAL,0.9999897480010986
197,928,10,CARDINAL,0.9999526739120483
198,928,10,CARDINAL,0.999845027923584
199,928,10,CARDINAL,0.9999868869781494
200,928,10,CARDINAL,0.9998303651809692
201,929,Shushant Sir,PERSON,0.9996182918548584
202,932,L.A,GPE,0.9999910593032837
203,932,11,CARDINAL,0.9999946355819702
204,932,a year,DATE,0.9989392161369324
205,932,10,CARDINAL,0.9999821186065674
206,933,2,DATE,0.9998905658721924
207,934,Timothée Chalamet,PERSON,0.999998152256012
208,937,"'I, Daniel Blake'",WORK_OF_ART,0.9996217687924703
209,937,USA,GPE,0.9999936819076538
210,937,DMV,ORG,0.9999951124191284
211,937,John Q. Public,PERSON,0.999759296576182
212,937,Daniel Blake',PERSON,0.999984343846639
213,939,Isle of Dogs,GPE,0.9999914964040121
